지역명,일시,관외 이동량
경상북도 포항시 북구,5,660878
경상남도 거제시,5,367272
경상남도 거창군,5,103449
경상북도 군위군,5,131802
경상남도 고성군,5,172356
경상남도 김해시,5,881482
경상남도 남해군,5,166784
경상남도 밀양시,5,272518
경상남도 사천시,5,301071
경상남도 산청군,5,157138
경상남도 양산시,5,660280
경상남도 의령군,5,82885
경상남도 진주시,5,437926
경상남도 창녕군,5,193717
경상남도 창원시 마산합포구,5,515557
경상남도 창원시 마산회원구,5,491500
경상남도 창원시 성산구,5,816168
경상남도 창원시 의창구,5,812418
경상남도 창원시 진해구,5,342444
경상남도 통영시,5,294218
경상남도 하동군,5,163358
경상남도 함안군,5,292724
경상남도 함양군,5,90684
경상남도 합천군,5,138389
제주특별자치도 서귀포시,5,886462
제주특별자치도 제주시,5,1162571
부산광역시 강서구,6,1169848
부산광역시 금정구,6,816874
부산광역시 기장군,6,928952
부산광역시 남구,6,787982
부산광역시 동구,6,679473
부산광역시 동래구,6,1068158
부산광역시 부산광역시진구,6,1801900
부산광역시 북구,6,515443
부산광역시 사상구,6,873710
부산광역시 사하구,6,598408
부산광역시 서구,6,527262
부산광역시 수영구,6,910911
부산광역시 연제구,6,946974
부산광역시 영도구,6,335989
부산광역시 중구,6,745487
부산광역시 해운대구광역시,6,1527213
대구광역시 남구,6,662337
대구광역시 달서구,6,1523883
대구광역시 달성군,6,838749
대구광역시 동구,6,1316370
대구광역시 북구,6,1272114
대구광역시 서구,6,665397
대구광역시 수성구,6,1317770
대구광역시 군위군,6,0
대구광역시 중구,6,1503458
광주광역시 광산구,6,1230116
광주광역시 남구,6,593722
광주광역시 동구,6,891995
광주광역시 북구,6,1160770
광주광역시 서구,6,1348221
대전광역시 대덕구,6,628179
대전광역시 동구,6,855418
대전광역시 서구,6,1437719
대전광역시 유성구,6,1477030
대전광역시 중구,6,972289
울산광역시 남구,6,1360555
울산광역시 동구,6,386295
울산광역시 북구,6,777270
울산광역시 울주군,6,923889
