일시,방문자 수,지역명
3,9133222.0,경기도 용인시 처인구
3,12900000.0,경기도 용인시 기흥구
3,8839421.0,경기도 용인시 수지구
3,3784980.0,경기도 과천시
3,7906416.0,경기도 구리시
3,17200000.0,경기도 남양주시
3,6818988.0,경기도 오산시
3,11400000.0,경기도 시흥시
3,6807474.0,경기도 군포시
3,4665451.0,경기도 의왕시
3,10400000.0,경기도 하남시
3,11800000.0,경기도 파주시
3,7503174.0,경기도 이천시
3,6812925.0,경기도 안성시
3,13000000.0,경기도 김포시
3,24400000.0,경기도 화성시
3,10600000.0,경기도 광주시
3,7573193.0,경기도 양주시
3,4946917.0,경기도 포천시
3,4587786.0,경기도 여주시
3,1583811.0,경기도 연천군
3,3008403.0,경기도 가평군
3,4611403.0,경기도 양평군
3,13800000.0,경기도 부천시 원미구
3,4956543.0,경기도 부천시 소사구
3,3854346.0,경기도 부천시 오정구
3,1775005.0,경상남도 고성군
3,6682368.0,경상남도 창원시 의창구
3,7613491.0,경상남도 창원시 성산구
3,5431443.0,경상남도 창원시 마산합포구
3,4650108.0,경상남도 창원시 마산회원구
3,4616974.0,경상남도 창원시 진해구
3,7380972.0,경상남도 진주시
3,3660103.0,경상남도 통영시
3,3123868.0,경상남도 사천시
3,12900000.0,경상남도 김해시
3,3337123.0,경상남도 밀양시
3,9025260.0,경상남도 거제시
3,9430656.0,경상남도 양산시
3,870164.0,경상남도 의령군
3,1902620.0,경상남도 함안군
3,1859614.0,경상남도 창녕군
3,1504519.0,경상남도 남해군
3,1714236.0,경상남도 하동군
3,1025765.0,경상남도 산청군
3,1195893.0,경상남도 함양군
3,1629143.0,경상남도 거창군
3,1234548.0,경상남도 합천군
3,9376902.0,경상북도 경주시
3,3783854.0,경상북도 김천시
3,5244409.0,경상북도 안동시
3,9012533.0,경상북도 구미시
3,2967126.0,경상북도 영주시
3,2590655.0,경상북도 영천시
3,2863633.0,경상북도 상주시
3,1897371.0,경상북도 문경시
3,6758236.0,경상북도 경산시
3,1441038.0,경상북도 의성군
3,789449.0,경상북도 청송군
3,348953.0,경상북도 영양군
3,1565516.0,경상북도 영덕군
3,1478456.0,경상북도 청도군
3,988332.0,경상북도 고령군
3,1411482.0,경상북도 성주군
3,3382109.0,경상북도 칠곡군
3,1517561.0,경상북도 예천군
3,687523.0,경상북도 봉화군
3,1639750.0,경상북도 울진군
3,321018.0,경상북도 울릉군
3,6470930.0,경상북도 포항시 남구
3,8036588.0,경상북도 포항시 북구
3,3702836.0,광주광역시 남구
3,5283837.0,광주광역시 동구
3,11600000.0,광주광역시 북구
3,11300000.0,광주광역시 광산구
3,9676356.0,광주광역시 서구
3,960854.0,대구광역시 군위군
3,4619448.0,대구광역시 남구
3,11300000.0,대구광역시 동구
3,11500000.0,대구광역시 수성구
3,14700000.0,대구광역시 달서구
3,5953342.0,대구광역시 달성군
3,12500000.0,대구광역시 북구
3,3746649.0,대구광역시 서구
3,8220587.0,대구광역시 중구
3,6353381.0,대전광역시 동구
3,13100000.0,대전광역시 유성구
3,4571400.0,대전광역시 대덕구
3,13900000.0,대전광역시 서구
3,7097051.0,대전광역시 중구
3,6302788.0,부산광역시 강서구
3,3599865.0,부산광역시 영도구
3,12700000.0,부산광역시 부산진구
3,7427809.0,부산광역시 동래구
3,12900000.0,부산광역시 해운대구
3,6409138.0,부산광역시 사하구
3,6686796.0,부산광역시 금정구
3,7243993.0,부산광역시 남구
3,4533402.0,부산광역시 연제구
3,5798452.0,부산광역시 수영구
3,5539671.0,부산광역시 사상구
3,6421878.0,부산광역시 기장군
3,4458159.0,부산광역시 동구
3,6890547.0,부산광역시 북구
3,3418941.0,부산광역시 서구
3,4706420.0,부산광역시 중구
3,17800000.0,서울특별시 종로구
3,14700000.0,서울특별시 강서구
3,14100000.0,서울특별시 용산구
3,10600000.0,서울특별시 성동구
3,13200000.0,서울특별시 광진구
3,11300000.0,서울특별시 동대문구
3,9105114.0,서울특별시 중랑구
3,12600000.0,서울특별시 성북구
3,7193138.0,서울특별시 강북구
3,7013302.0,서울특별시 도봉구
3,15200000.0,서울특별시 노원구
3,8789779.0,서울특별시 은평구
3,13500000.0,서울특별시 서대문구
3,19600000.0,서울특별시 마포구
3,8646225.0,서울특별시 양천구
3,11900000.0,서울특별시 구로구
3,5304001.0,서울특별시 금천구
3,18600000.0,서울특별시 영등포구
3,11000000.0,서울특별시 동작구
3,12500000.0,서울특별시 관악구
3,24800000.0,서울특별시 서초구
3,36000000.0,서울특별시 강남구
3,24000000.0,서울특별시 송파구
3,12200000.0,서울특별시 강동구
